"State","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","category","region_name"
"New Jersey",426002.8,433564,447872.1,471426.9,476616.7,484657.1,494703.5,498245.2,507894.7,516681.4,520898.3,534501.4,506850.7,513917.9,507604,517195.9,523725.8,522166.4,529953.7,535055.3,537578.5,550059.5,559648.8,535323.7,566893.2,581704.2,NA,"gdp","Northeast"
"New Mexico",67285.2,66944,70487.9,71652.8,71730.5,73909.6,76767.5,83038.7,84034.4,86058.4,86738.8,86965.2,88069.9,87610.3,87592.9,87925.2,86856.6,88991.2,89701.3,89151.4,88962.9,90933.6,94897.4,92496.3,93625.1,94663.4,NA,"gdp","West"
"New York",977797.9,997251.9,1051337.6,1092188.2,1112794.4,1106150.8,1110613.1,1144125.1,1168891.1,1199276.9,1208564.6,1190080.9,1230672.3,1277466.8,1279527.1,1328233.5,1329376.3,1353410.4,1373643,1403230.5,1419112.1,1458382.4,1500833.4,1432507,1514779.2,1563043.7,NA,"gdp","Northeast"
"North Carolina",315648.2,326786.2,345457.6,356912.5,359617,364870.4,373987.6,389210.1,409003.9,434209.2,438960.1,450538,431955.3,437836.5,443288.7,445095.3,452056.2,462253.1,475096.6,482968.9,495221.3,501564.9,512834.8,506658.1,541933.8,559510.1,NA,"gdp","Southeast"
"North Dakota",22413.1,23674.9,23770.7,24706,24909.9,26290.8,27870.4,28284.1,29345.2,30590.1,32022.2,34256.4,35244.4,37917.2,42340.8,51832.6,52892.4,57790,56542.4,52974.6,54187.1,55914.2,56385.4,53653.6,53803.6,53125.4,NA,"gdp","Midwest"
"Ohio",471450.9,487532.8,499292.8,509949.2,502967.6,513215.5,519939.4,534064.6,545968.7,545504.1,546729.3,537124.1,511076.5,523979.4,541180.2,545740.1,556210.5,574177.9,578852.4,583946.4,593636,597925.5,613251.4,594143.6,629287,638910,NA,"gdp","Midwest"
"Oklahoma",115088.5,117596,119685.4,124227.6,128891.2,131293.3,133417.2,138096.8,143471.1,152857.7,156219.5,162387,160091.6,160564.2,166327.2,174874.4,177698.9,189360,197071.9,193025.1,194017.2,197453.2,201161.5,192485.5,193230,191388.1,NA,"gdp","Southwest"
"Oregon",118360.3,123994.7,126739.2,137400.6,136166.1,138932.5,144802.8,152001.1,158163.4,166107.2,168975.1,173598.5,165527.2,169234,173831.7,174611,175933.8,181220.6,189946.5,198079.3,205524,214902.5,219588,215743.6,227979.1,234806.2,NA,"gdp","West"
"Pennsylvania",496658.9,509550.8,524960.9,538790.2,547260.9,555055.9,568242.4,584328.3,594855.1,597219.2,617309.9,629807.9,610147.9,627726.3,637114,647925.9,655929.2,669643.1,682466.1,688359.4,694866.6,704027.8,715060.7,680957.4,710973.1,726035.6,NA,"gdp","Northeast"
"Rhode Island",40145.8,41912.5,43144.9,45178.6,45749.8,47224.5,48571.1,50513.8,51369.7,52899.6,51469.1,50575.2,50004.3,51332.8,51279.6,51583,51910.8,52293.4,52819.1,52902.6,52691.8,52553.3,53411.4,51516.1,54606,55413.3,NA,"gdp","Northeast"
"South Carolina",134607.9,139526.3,146104.4,150156.4,151015.9,155275.1,161269.3,164083.4,169488.5,173370.9,178474.6,176567.6,168851.8,172131,176083.2,177618.1,180881.6,185986.9,192019.9,198005.7,202512.4,207101.2,213237.8,208234.1,221045,226420.1,NA,"gdp","Southeast"
